nom,specialite,niveau,statut,dernier diplome obtenu,note median,correcteur median,note final,correcteur final,note totale,resultat
Etu55,GM,2,UTC,BAC,15,Cor6,13,Cor4,13.8,C
Etu56,GM,2,UTC,DUT,16.0,Cor1,14.0,Cor1,14.8,C
Etu57,GM,1,UTC,BAC,13,Cor5,16.5,Cor7,15.1,B
Etu58,GB,2,UTC,DUT,13,Cor6,14.5,Cor4,13.9,C
Etu59,GSM,4,UTC,BAC,17,Cor6,18,Cor4,17.6,A
Etu60,GSU,2,UTC,BAC,15.0,Cor2,16.5,Cor3,15.9,B
Etu61,GSM,2,UTC,DUT,10,Cor6,18,Cor4,14.8,C
Etu62,GM,2,UTC,BAC,9,Cor4,10,Cor5,9.6,Fx
Etu63,ISS,2,UTC,ETRANGER SUPERIEUR,13.5,Cor6,17,Cor4,15.6,B
Etu64,GM,4,UTC,BAC,9,Cor4,9.5,Cor5,9.3,Fx
Etu65,GI,2,UTC,DUT,5,Cor7,,,,ABS
Etu66,GI,2,UTC,DUT,11,Cor6,9.5,Cor4,10.1,E
Etu67,GB,2,UTC,BAC,15.5,Cor2,16,Cor3,15.8,B
Etu68,GI,4,UTC,BAC,14,Cor5,17,Cor8,15.8,B
Etu69,GM,2,UTC,BAC,14.5,Cor6,17.5,Cor4,16.3,B
Etu70,GSM,4,UTC,DUT,7.5,Cor1,14.0,Cor1,11.4,E
Etu71,GSM,1,UTC,BAC,13.5,Cor6,11.5,Cor4,12.3,D
Etu72,GB,2,UTC,AUTRE DIPLOME SUPERIEUR,9,Cor8,9.5,Cor5,9.3,Fx
Etu73,GB,2,UTC,BAC,12.0,Cor1,12.5,Cor1,12.3,D
Etu74,GSM,4,UTC,BAC,12.0,Cor2,17.5,Cor3,15.3,B
Etu75,GM,2,UTC,DUT,4.5,Cor4,,,,ABS
Etu76,GM,4,UTC,CPGE,8,Cor7,2,Cor6,4.4,F
Etu77,GSM,4,Echange,,10,Cor6,7.5,Cor4,8.5,Fx
Etu78,GI,2,UTC,DUT,7,Cor5,6,Cor7,6.4,F
Etu79,GB,1,UTC,BAC,10,Cor4,15,Cor5,13,C
Etu80,GB,2,UTC,LICENCE,10.5,Cor4,19.5,Cor6,15.9,B
Etu81,GP,6,UTC,ETRANGER SUPERIEUR,12.5,Cor2,13.5,Cor3,13.1,C
Etu82,GB,2,UTC,BAC,5.5,Cor2,9,Cor3,7.6,F
Etu83,GSU,1,UTC,BAC,10,Cor7,14.5,Cor6,12.7,D
Etu84,GB,1,UTC,BAC,,,,,,ABS
Etu85,GB,2,UTC,BAC,11.5,Cor4,16,Cor5,14.2,C
Etu86,GI,2,UTC,BAC,7.5,Cor7,10.5,Cor8,9.3,Fx
Etu87,GI,2,UTC,BAC,13,Cor4,12.5,Cor5,12.7,D
Etu88,GSU,2,UTC,DEUG,15.5,Cor2,9.5,Cor3,11.9,D
Etu89,GSM,4,UTC,ETRANGER SECONDAIRE,5.5,Cor6,8,Cor4,7,F
Etu90,GSU,2,UTC,CPGE,4.5,Cor6,11,Cor4,8.4,Fx
Etu91,GB,2,UTC,BAC,14.5,Cor1,17.0,Cor1,16,B
Etu92,GM,4,UTC,DUT,18,Cor6,18,Cor4,18,A
Etu93,GSU,1,UTC,BAC,11.5,Cor7,8.5,Cor8,9.7,Fx
Etu94,GM,3,UTC,ETRANGER SUPERIEUR,12.5,Cor7,15.5,Cor6,14.3,C
Etu95,GSM,2,UTC,BAC,11.5,Cor2,17,Cor3,14.8,C
Etu96,GB,4,UTC,DUT,13,Cor5,10.5,Cor7,11.5,D
Etu97,GM,2,UTC,BAC,10,Cor5,9.5,Cor7,9.7,Fx
Etu98,GM,2,UTC,DUT,9.5,Cor4,3,Cor5,5.6,F
Etu99,GI,2,UTC,BAC,15.5,Cor8,13.5,Cor5,14.3,C
Etu100,TC,5,UTC,ETRANGER SECONDAIRE,10,Cor6,11.5,Cor4,10.9,E
Etu101,GSU,2,UTC,BAC,6.5,Cor7,17,Cor8,12.8,D
Etu102,GSM,2,UTC,DUT,12.0,Cor1,10.5,Cor1,11.1,E
Etu103,GB,2,UTC,DUT,17.5,Cor7,10,Cor6,13,C
Etu104,GM,2,UTC,DUT,9.5,Cor5,12.5,Cor7,11.3,E
Etu105,GP,4,UTC,CPGE,14,Cor4,6,Cor5,9.2,F
Etu106,GSM,2,UTC,BAC,14.5,Cor4,13.5,Cor5,13.9,C
Etu107,GSU,1,UTC,BAC,14.5,Cor4,15.5,Cor6,15.1,B
Etu108,GB,2,UTC,CPGE,12,Cor4,8.5,Cor6,9.9,Fx
Etu109,GI,2,UTC,BTS,6,Cor8,8,Cor5,7.2,F
Etu110,GM,4,UTC,DUT,8,Cor5,16.5,Cor7,13.1,C
Etu111,GI,2,UTC,BAC,9.5,Cor8,13.5,Cor5,11.9,D
Etu112,GSM,2,UTC,BAC,16.0,Cor2,17.5,Cor3,16.9,A
Etu113,GSM,4,UTC,CPGE,9.5,Cor7,5,Cor6,6.8,F
Etu114,GM,4,UTC,CPGE,13.5,Cor6,18.5,Cor4,16.5,B
Etu115,GB,2,UTC,LICENCE,17.5,Cor6,14,Cor4,15.4,B
Etu116,GSM,2,UTC,DUT,4,Cor8,10,Cor5,7.6,F
Etu117,GB,2,UTC,DEUG,10,Cor7,15.5,Cor6,13.3,C
Etu118,GB,2,UTC,BAC,15.5,Cor6,12,Cor4,13.4,C
Etu119,GM,2,UTC,DUT,6,Cor8,17,Cor5,12.6,D
Etu120,GP,2,UTC,DUT,4,Cor6,9.5,Cor4,7.3,F
Etu121,GB,4,UTC,CPGE,9.5,Cor1,7.5,Cor1,8.3,Fx
Etu122,GSU,4,UTC,BAC,7,Cor5,11,Cor7,9.4,Fx
Etu123,GM,2,UTC,DUT,14,Cor5,15,Cor7,14.6,C
Etu124,TC,6,UTC,BAC,11.5,Cor4,,,,ABS
Etu125,GSM,2,UTC,DUT,10.5,Cor2,12.5,Cor3,11.7,D
Etu126,GSM,2,UTC,DUT,5,Cor6,14.5,Cor4,10.7,E
Etu127,GSM,2,UTC,DUT,4,Cor4,8,Cor5,6.4,F
Etu128,GB,2,UTC,DUT,8.5,Cor2,13,Cor3,11.2,E
Etu129,TC,5,UTC,ETRANGER SECONDAIRE,,,,,,ABS
Etu130,GSM,2,UTC,BAC,15.5,Cor2,16,Cor3,15.8,B
Etu131,GSU,1,UTC,BAC,15.5,Cor2,7.5,Cor3,10.7,E
Etu132,GB,2,UTC,DUT,16.5,Cor7,17.5,Cor8,17.1,A
Etu133,GI,1,UTC,AUTRE 1ER CYCLE,13.5,Cor8,13,Cor5,13.2,C
Etu134,GSM,6,UTC,BAC,11,Cor6,17,Cor4,14.6,C
Etu135,GM,4,UTC,CPGE,7.5,Cor2,12.5,Cor3,10.5,E
Etu136,GB,2,UTC,AUTRE 1ER CYCLE,3.5,Cor8,8.5,Cor5,6.5,F
Etu137,GM,2,UTC,BAC,12,Cor4,15.5,Cor6,14.1,C
Etu138,GSM,2,UTC,CPGE,8.5,Cor2,11.5,Cor3,10.3,E
Etu139,GI,1,UTC,ETRANGER SECONDAIRE,17,Cor7,18,Cor6,17.6,A
Etu140,GB,2,UTC,AUTRE 1ER CYCLE,16.0,Cor1,13.5,Cor1,14.5,C
Etu141,ISS,2,UTC,ETRANGER SUPERIEUR,8,Cor7,4,Cor8,5.6,F
Etu142,GSU,2,UTC,CPGE,10.5,Cor2,6,Cor3,7.8,F
Etu143,GSM,2,UTC,LICENCE,8.5,Cor4,7,Cor6,7.6,F
Etu144,GI,1,UTC,BAC,16.5,Cor5,10,Cor7,12.6,D
Etu145,GB,3,UTC,ETRANGER SUPERIEUR,9.5,Cor4,10,Cor6,9.8,Fx
Etu146,GI,5,Echange,,,,,,,ABS
Etu147,GSU,3,UTC,BAC,6,Cor8,13,Cor5,10.2,E
Etu148,GM,2,UTC,LICENCE,13,Cor8,16,Cor5,14.8,C
Etu149,GM,4,UTC,DUT,7.5,Cor2,11.5,Cor3,9.9,Fx
Etu150,GM,2,UTC,BAC,14,Cor4,13,Cor6,13.4,C
Etu151,GM,2,UTC,BAC,18.5,Cor8,16,Cor5,17,A
Etu152,GSU,1,UTC,BAC,11.0,Cor1,15.5,Cor1,13.7,C
Etu153,GSU,1,UTC,BAC,11,Cor8,18,Cor5,15.2,B
Etu154,TC,4,UTC,BAC,19.5,Cor6,17,Cor4,18,A
Etu155,GB,2,UTC,AUTRE DIPLOME SUPERIEUR,5,Cor4,,,,ABS
Etu156,GM,1,UTC,ETRANGER SUPERIEUR,13.5,Cor2,13.5,Cor3,13.5,C
Etu157,GSU,2,UTC,CPGE,9.0,Cor2,8,Cor3,8.4,Fx
Etu158,GI,2,UTC,DUT,7.5,Cor4,11,Cor5,9.6,Fx
Etu159,GM,2,UTC,DUT,12.0,Cor2,15,Cor3,13.8,C
Etu160,GM,6,UTC,AUTRE 1ER CYCLE,14,Cor5,7.5,Cor7,10.1,E
Etu161,HuTech,6,UTC,BAC,4.0,Cor1,0.0,Cor1,1.6,F
Etu162,GB,4,UTC,DUT,10.5,Cor4,14.5,Cor5,12.9,D
Etu163,GB,2,UTC,DEUG,6,Cor4,4.5,Cor5,5.1,F
Etu164,GSM,2,UTC,DUT,9,Cor5,10.5,Cor7,9.9,Fx
Etu165,GSM,2,UTC,DUT,8.0,Cor2,16,Cor3,12.8,D
Etu166,GB,4,UTC,LICENCE,15.5,Cor2,15,Cor3,15.2,B
Etu167,GP,6,UTC,ETRANGER SUPERIEUR,10.5,Cor6,9.5,Cor7,9.9,Fx
Etu168,TC,4,UTC,BAC,16,Cor7,17.5,Cor8,16.9,A
Etu169,GM,2,UTC,DUT,9,Cor4,9.5,Cor6,9.3,Fx
Etu170,GSM,2,UTC,CPGE,4,Cor8,,,,ABS
Etu171,GSM,2,UTC,DUT,3.5,Cor7,4,Cor8,3.8,F
Etu172,GI,4,Echange,,0,Cor6,3,Cor4,1.8,F
Etu173,GI,2,UTC,CPGE,18.0,Cor2,13,Cor3,15,B
Etu174,GM,2,UTC,BTS,16,Cor4,16.5,Cor5,16.3,B
Etu175,TC,5,UTC,BAC,7,Cor4,14,Cor5,11.2,E
Etu176,GM,2,UTC,CPGE,6.5,Cor5,18,Cor7,13.4,C
Etu177,GSM,4,UTC,CPGE,10.5,Cor1,9.5,Cor1,9.9,Fx
Etu178,GP,2,UTC,DUT,5.5,Cor7,8.5,Cor6,7.3,F
Etu179,GSU,1,UTC,BAC,13.0,Cor1,15.5,Cor1,14.5,C
Etu180,GSM,4,UTC,CPGE,5,Cor7,5.5,Cor6,5.3,F
Etu181,GSU,2,UTC,BAC,15.5,Cor1,17.0,Cor1,16.4,A
Etu182,GSM,2,UTC,DUT,8,Cor5,11,Cor8,9.8,Fx
Etu183,TC,5,UTC,BAC,10,Cor4,12,Cor5,11.2,E
Etu184,GSU,2,UTC,CPGE,12,Cor4,12.5,Cor6,12.3,D
Etu185,GSU,4,Echange,,1.5,Cor5,0.5,Cor7,0.9,F
Etu186,GSM,2,UTC,CPGE,3.5,Cor7,2,Cor6,2.6,F
Etu187,GB,2,UTC,BAC,16.5,Cor8,14,Cor5,15,B
Etu188,GB,1,UTC,BAC,18.0,Cor2,17.5,Cor3,17.7,A
Etu189,GI,1,UTC,BAC,10.0,Cor1,10.5,Cor1,10.3,E
Etu190,GM,2,UTC,DUT,13,Cor5,17,Cor7,15.4,B
Etu191,GB,1,UTC,BAC,15.5,Cor2,11,Cor3,12.8,D
Etu192,GSU,2,UTC,BAC,7,Cor4,13.5,Cor6,10.9,E
Etu193,GB,2,UTC,DUT,19.5,Cor5,13,Cor7,15.6,B
Etu194,GSU,1,UTC,BAC,13,Cor7,15,Cor8,14.2,C
Etu195,TC,5,UTC,BAC,15.0,Cor2,9,Cor3,11.4,E
Etu196,GB,1,UTC,BAC,7.5,Cor4,,,,ABS
Etu197,GSU,2,UTC,BAC,10,Cor5,15.5,Cor7,13.3,C
Etu198,GM,2,UTC,DUT,10.5,Cor2,12.5,Cor3,11.7,D
Etu199,GSM,2,UTC,BAC,16,Cor6,14.5,Cor4,15.1,B
Etu200,GM,4,UTC,DUT,8,Cor4,13.5,Cor5,11.3,E
Etu201,GSU,4,UTC,CPGE,11.5,Cor6,15.5,Cor4,13.9,C
Etu202,GM,1,UTC,BAC,14.0,Cor1,16.5,Cor1,15.5,B
Etu203,GSM,4,UTC,DUT,7.5,Cor7,4.5,Cor8,5.7,F
Etu204,ISS,2,UTC,ETRANGER SUPERIEUR,11.5,Cor6,15.5,Cor4,13.9,C
Etu205,GSM,2,UTC,DUT,11,Cor4,17.5,Cor5,14.9,C
Etu206,GB,2,UTC,CPGE,15,Cor5,8.5,Cor7,11.1,E
Etu207,GM,2,UTC,DUT,12,Cor7,18,Cor6,15.6,B
Etu208,GB,2,UTC,DUT,9,Cor6,12,Cor4,10.8,E
Etu209,GSM,4,UTC,DUT,6.5,Cor6,15.5,Cor4,11.9,D
Etu210,GSM,2,UTC,DUT,7,Cor5,7.5,Cor7,7.3,F
Etu211,GP,2,UTC,BAC,11,Cor7,10,Cor8,10.4,E
Etu212,GM,2,UTC,INGENIEUR,10,Cor8,14.5,Cor5,12.7,D
Etu213,GI,2,UTC,AUTRE DIPLOME SUPERIEUR,8.5,Cor6,18,Cor4,14.2,C
Etu214,GI,2,UTC,DUT,11.5,Cor4,16.5,Cor6,14.5,C
Etu215,GI,2,UTC,BAC,9,Cor5,14,Cor7,12,D
Etu216,GB,1,UTC,BAC,16,Cor7,12.5,Cor6,13.9,C
Etu217,GSU,2,UTC,CPGE,16.0,Cor2,8,Cor3,11.2,E
Etu218,GSU,2,UTC,BAC,13,Cor5,15,Cor7,14.2,C
Etu219,GSM,2,UTC,LICENCE,8.5,Cor7,16.5,Cor8,13.3,C
Etu220,GP,2,UTC,BAC,14.5,Cor8,15,Cor5,14.8,C
Etu221,GI,1,UTC,BAC,15.5,Cor1,9.5,Cor1,11.9,D
Etu222,GB,4,UTC,DUT,7.5,Cor8,8,Cor5,7.8,F
Etu223,TC,4,UTC,BAC,14.5,Cor7,19.5,Cor6,17.5,A
Etu224,GSM,2,UTC,CPGE,18.5,Cor6,8,Cor4,12.2,D
Etu225,GB,2,UTC,DUT,10.5,Cor1,15.0,Cor1,13.2,C
Etu226,GSM,2,UTC,BAC,17,Cor7,14,Cor8,15.2,B
Etu227,GSU,4,UTC,BAC,13.5,Cor7,16,Cor8,15,B
Etu228,GI,1,UTC,BAC,7.5,Cor2,9,Cor3,8.4,Fx
Etu229,GSM,2,UTC,DUT,10,Cor7,8,Cor8,8.8,Fx
Etu230,GB,1,UTC,ETRANGER SECONDAIRE,13.0,Cor2,16,Cor3,14.8,C
Etu231,GSU,2,UTC,CPGE,15.5,Cor2,13.5,Cor3,14.3,C
Etu232,GI,2,UTC,DUT,9.5,Cor7,18.5,Cor6,14.9,C
Etu233,GM,6,UTC,DUT,5,Cor7,7,Cor8,6.2,F
Etu234,GM,2,UTC,CPGE,15.5,Cor5,9,Cor7,11.6,D
Etu235,GI,1,UTC,BAC,19,Cor6,17.5,Cor4,18.1,A
Etu236,GM,4,UTC,DUT,8,Cor6,16,Cor4,12.8,D
Etu237,GM,2,UTC,DUT,19.5,Cor5,12,Cor7,15,B
Etu238,GSU,2,UTC,DUT,9,Cor5,13,Cor7,11.4,E
Etu239,GSM,4,UTC,CPGE,7.0,Cor2,4.5,Cor3,5.5,F
Etu240,GSM,4,UTC,DUT,9,Cor8,15,Cor5,12.6,D
Etu241,GSU,4,UTC,BAC,5,Cor4,11.5,Cor5,8.9,Fx
Etu242,GM,2,UTC,BAC,17.5,Cor4,19,Cor6,18.4,A
Etu243,GB,4,UTC,DUT,10.5,Cor5,8.5,Cor7,9.3,Fx
Etu244,GSU,2,UTC,BAC,13.5,Cor4,7,Cor5,9.6,Fx
Etu245,GB,2,UTC,BTS,3,Cor5,4,Cor7,3.6,F
Etu246,GSM,2,UTC,DUT,5.5,Cor2,13.5,Cor3,10.3,E
Etu247,GM,2,UTC,DUT,16.0,Cor2,13.5,Cor3,14.5,C
Etu248,GB,2,UTC,CPGE,8.5,Cor5,7,Cor7,7.6,F
Etu249,GP,6,UTC,DUT,11.5,Cor4,18.5,Cor6,15.7,B
Etu250,GI,4,UTC,BAC,11,Cor5,18.5,Cor7,15.5,B
Etu251,GI,1,UTC,AUTRE DIPLOME SUPERIEUR,11,Cor6,13,Cor4,12.2,D
Etu252,GM,2,UTC,DUT,10,Cor6,13.5,Cor4,12.1,D
Etu253,GM,4,Echange,,7.5,Cor2,4,Cor3,5.4,F
Etu254,GM,2,UTC,CPGE,11,Cor5,18,Cor7,15.2,B
Etu255,GB,4,UTC,BTS,11.5,Cor6,15.5,Cor4,13.9,C
Etu256,GSM,4,UTC,DUT,12,Cor4,4.5,Cor1,7.5,F
Etu257,GP,4,UTC,BAC,6,Cor4,4,Cor5,4.8,F
Etu258,GM,2,UTC,DUT,9.5,Cor7,16,Cor6,13.4,C
Etu259,GM,2,UTC,DUT,8.5,Cor2,6.5,Cor3,7.3,F
Etu260,GB,2,UTC,LICENCE,16.5,Cor5,19,Cor7,18,A
Etu261,GM,2,UTC,AUTRE 2E CYCLE,4.5,Cor7,4.5,Cor8,4.5,F
Etu262,GP,4,UTC,CPGE,16,Cor6,6,Cor4,10,F
Etu263,GB,2,UTC,DUT,14.0,Cor1,15.5,Cor1,14.9,C
Etu264,GSM,6,UTC,DUT,4,Cor5,4,Cor7,4,F
Etu265,GP,2,UTC,BAC,10.5,Cor6,17,Cor4,14.4,C
Etu266,GB,4,UTC,DUT,11,Cor5,9.5,Cor8,10.1,E
Etu267,GSU,2,UTC,DUT,6.5,Cor5,6,Cor7,6.2,F
Etu268,GB,4,UTC,LICENCE,11.0,Cor2,11.5,Cor3,11.3,E
Etu269,GB,1,UTC,BAC,13.5,Cor6,19,Cor4,16.8,A
Etu270,GI,2,UTC,DUT,14,Cor4,11,Cor6,12.2,D
Etu271,GP,2,UTC,DUT,10.0,Cor1,10.0,Cor1,10,E
Etu272,GI,1,UTC,BAC,17.5,Cor5,11,Cor7,13.6,C
Etu273,GB,4,UTC,CPGE,4,Cor7,4,Cor8,4,F
Etu274,GB,1,UTC,BAC,10,Cor4,10.5,Cor6,10.3,E
Etu275,GSU,2,UTC,CPGE,11.5,Cor6,15.5,Cor4,13.9,C
Etu276,GB,2,UTC,DUT,9,Cor4,14,Cor6,12,D
Etu277,GM,2,UTC,CPGE,5,Cor7,13.5,Cor8,10.1,E
Etu278,GI,2,UTC,DUT,12,Cor4,13.5,Cor5,12.9,D
Etu279,GB,2,UTC,LICENCE,5.5,Cor1,9.0,Cor1,7.6,F
Etu280,TC,4,UTC,BAC,16,Cor6,18,Cor4,17.2,A
Etu281,GM,4,UTC,DUT,5.5,Cor1,6.0,Cor1,5.8,F
Etu282,ISS,2,UTC,ETRANGER SUPERIEUR,12,Cor6,5,Cor4,7.8,F
Etu283,GSM,4,UTC,DUT,14,Cor8,9.5,Cor5,11.3,E
Etu284,GI,1,UTC,BAC,5,Cor8,14,Cor5,10.4,E
Etu285,GSM,4,UTC,CPGE,14.0,Cor2,16.5,Cor3,15.5,B
Etu286,GP,2,UTC,CPGE,16.0,Cor2,10,Cor3,12.4,D
Etu287,GM,4,UTC,BAC,11.5,Cor2,13,Cor3,12.4,D
Etu288,GB,2,UTC,DUT,12,Cor7,16.5,Cor6,14.7,C
Etu289,GSM,2,UTC,BTS,6.5,Cor5,17,Cor7,12.8,D
Etu290,GI,4,UTC,DUT,6,Cor7,4,Cor6,4.8,F
Etu291,GB,2,UTC,CPGE,13.5,Cor5,9.5,Cor7,11.1,E
Etu292,GB,2,UTC,BTS,8.5,Cor5,9,Cor7,8.8,Fx
Etu293,GB,2,UTC,BAC,13.5,Cor4,18,Cor6,16.2,B
Etu294,GSU,2,UTC,BAC,12,Cor5,15,Cor7,13.8,C
Etu295,GSU,2,UTC,DUT,12,Cor6,18,Cor7,15.6,B
Etu296,GSU,4,UTC,BAC,9.5,Cor5,10.5,Cor7,10.1,E
